,time,s1,s2,s3,s4,0
156,1398489111.499,382.368283736386,390.73040000080533,366.75476141840886,363.63384594545454,375.8718227752637
157,1398489113.239,398.6701705533071,390.73040000080533,373.1264427778008,374.0184613797505,384.1363686779159
158,1398489114.804,388.8890384630556,390.73040000080533,366.75476141840886,363.63384594519226,377.5020114568655
159,1398489115.805,380.738095054595,390.73040000080533,360.3830800585339,360.1723074670937,373.005970645257
160,1398489116.804,367.69658560100874,402.7303999996121,357.1972393790794,348.05692279361733,368.92028694332936
161,1398489117.808,366.06639691921777,378.73040000017966,357.19723937859646,344.5953843155187,361.6473551533781
162,1398489119.522,370.9569629643436,366.7303999995539,360.3830800585339,356.710768988995,363.6953030028566
163,1398489122.699,400.300359235098,402.7303999996121,373.1264427778008,370.55692290165194,386.6785312285407
164,1398489123.698,395.4097931899722,390.73040000080533,366.7547614179259,368.8261536627337,380.4302770678593
165,1398489124.697,380.73809505484206,402.7303999996121,363.5689207384714,361.9030767062741,377.2351231247999
166,1398489125.697,382.368283736386,390.7303999989864,363.5689207384714,365.3646151843727,375.5080549145541
167,1398489127.445,379.10790637280405,402.7303999996121,360.3830800585339,358.4415382281755,375.1657311647814
168,1398489129.019,369.3267742827997,390.7303999989864,354.011398699142,348.05692279361733,365.5313739436363
169,1398489130.018,359.5456421925482,390.7303999989864,357.1972393790794,348.05692279361733,363.8825510910578
170,1398489131.5,374.2173403279255,402.7303999996121,369.94060209786335,365.3646151843727,378.0632394024434
171,1398489132.499,397.0399818717632,414.7303999984189,373.1264427778008,375.7492306189309,390.1615138167284
172,1398489134.053,410.08149132534953,402.7303999996121,373.1264427778008,374.0184613797505,389.98919887062823
173,1398489135.56,387.2588497815117,402.7303999996121,360.3830800585339,361.9030767062741,378.0688516364829
174,1398489136.559,370.9569629643436,378.7303999983607,354.011398699142,351.5184612717159,363.80430573339055
175,1398489137.558,359.5456421925482,366.7303999995539,350.8255580192045,346.3261535544368,355.85693844143583
176,1398489138.56,356.3939440746332,366.7303999995539,357.1972393790794,346.3261535544368,356.66193425192586
177,1398489139.98,382.368283736386,402.7303999996121,366.7547614179259,360.1723074670937,378.0064381552544
178,1398489142.704,400.300359235098,402.7303999996121,363.5689207384714,367.0953844235533,383.4237660991837
179,1398489143.704,387.2588497815117,402.7303999996121,363.5689207384714,365.3646151843727,379.730696425992
180,1398489144.703,370.9569629643436,402.7303999996121,363.5689207384714,356.710768988995,373.4917631728555
181,1398489145.703,370.9569629643436,390.7303999989864,363.5689207384714,358.4415382281755,370.9244554824942
182,1398489147.341,382.368283736386,378.73040000017966,360.3830800585339,358.4415382281755,369.98082550581876
183,1398489150.351,377.4777176912602,390.7303999989864,360.3830800585339,361.9030767062741,372.6235686137636
184,1398489152.151,380.738095054595,390.73040000080533,369.94060209786335,365.3646151843727,376.6934280844091
185,1398489153.15,383.99847241792975,402.7303999996121,366.7547614179259,367.0953844235533,380.14475456475526
186,1398489154.149,388.8890384630556,390.73040000080533,366.7547614179259,361.9030767062741,377.0693191470152
187,1398489155.822,379.1079063730512,390.7303999989864,354.011398699142,356.710768988995,370.1401185150436
188,1398489157.522,374.2173403276784,402.7303999996121,357.1972393790794,354.9799997500769,372.2812448641117
189,1398489158.521,375.84752900946927,378.73040000017966,366.75476141840886,358.44153822791316,369.94355716399275
190,1398489159.52,380.738095054595,390.73040000080533,366.75476141840886,358.44153822791316,374.16619867543056
191,1398489160.52,383.9984724181769,390.73040000080533,363.5689207384714,356.710768988995,373.75214053661216
192,1398489163.254,379.1079063730512,390.7303999989864,366.75476141840886,360.1723074670937,374.19134381438505
193,1398489164.826,390.51922714484647,402.7303999996121,366.75476141840886,361.9030767062741,380.4768663172854
194,1398489165.826,392.14941582663744,378.73040000017966,366.75476141840886,365.3646151843727,375.74979810739967
195,1398489166.826,392.14941582663744,390.73040000080533,363.5689207384714,365.3646151843727,377.95333793757175
196,1398489167.825,390.51922714484647,390.7303999989864,360.3830800585339,360.1723074670937,375.4512536673651
197,1398489169.476,362.80601955588304,390.7303999989864,357.19723937859646,348.05692279361733,364.6976454317708
198,1398489171.532,361.17583087409207,390.7303999989864,360.3830800585339,351.5184612717159,365.9519430508321
199,1398489173.004,375.84752900946927,402.7303999996121,369.94060209786335,365.3646151843727,378.47078657282935
200,1398489174.027,390.51922714484647,390.73040000080533,369.94060209786335,370.55692290165194,380.4367880362918
201,1398489175.026,405.19092528022367,390.73040000080533,369.94060209786335,365.3646151843727,382.80663564081624
202,1398489176.485,390.51922714484647,402.7303999996121,360.3830800585339,361.9030767062741,378.88394597731667
203,1398489178.162,372.5871516461345,402.7303999996121,360.3830800585339,358.44153822791316,373.5355424830484
204,1398489179.162,372.5871516461345,378.73040000017966,360.3830800585339,356.710768988995,367.10285017346075
205,1398489180.162,380.738095054595,402.7303999996121,360.3830800585339,356.710768988995,375.140586025434
206,1398489181.161,388.8890384630556,390.73040000080533,363.5689207384714,356.710768988995,374.9747820478318
207,1398489183.915,367.69658560100874,378.73040000017966,360.3830800585339,361.9030767062741,367.17828559149905
208,1398489185.533,379.1079063730512,390.73040000080533,363.5689207384714,358.44153822791316,372.9621913350603
209,1398489186.532,395.4097931899722,390.73040000080533,366.7547614179259,360.1723074670937,378.26681551894933
210,1398489187.531,392.14941582663744,414.7303999984189,366.75476141840886,363.63384594545454,384.31710579722994
211,1398489188.53,392.14941582663744,390.7303999989864,360.3830800585339,363.63384594545454,376.7241854574031
212,1398489189.961,369.32677428255266,390.7303999989864,357.1972393790794,356.710768988995,368.49129566240333
213,1398489191.531,362.80601955588304,378.73040000017966,363.5689207379885,353.2492305108964,364.58864270123684
214,1398489192.959,374.2173403279255,390.7303999989864,360.3830800585339,356.710768988995,370.5103973436102
215,1398489193.958,392.14941582663744,402.7303999996121,369.94060209786335,367.0953844235533,382.97895058691654
216,1398489194.958,398.6701705533071,402.7303999996121,363.5689207384714,370.55692290165194,383.8816035482606
217,1398489196.528,388.8890384630556,390.73040000080533,366.75476141840886,367.0953844235533,378.36739607645575
218,1398489198.041,374.2173403279255,390.7303999989864,360.3830800585339,358.4415382281755,370.9430896534053
219,1398489199.04,372.5871516461345,390.73040000080533,357.19723937859646,351.5184612717159,368.0083130743131
220,1398489200.039,375.84752900946927,402.7303999996121,360.3830800585339,348.05692279361733,371.7544829653081
221,1398489201.039,379.1079063730512,378.73040000017966,363.5689207384714,356.710768988995,369.52949902517435
222,1398489203.658,379.1079063730512,366.7303999995539,360.3830800585339,363.63384594545454,367.46380809414836
223,1398489205.311,377.4777176912602,402.7303999996121,363.5689207384714,356.710768988995,375.1219518545847
224,1398489206.31,375.84752900946927,378.73040000017966,363.5689207384714,354.97999974981445,368.2817123744837
225,1398489207.31,377.4777176912602,390.73040000080533,363.5689207384714,360.1723074670937,372.9873364744077
226,1398489209.019,393.7796045081813,390.73040000080533,366.7547614179259,365.3646151843727,379.1573452778213
227,1398489210.465,401.93054791688894,390.73040000080533,369.94060209786335,363.63384594519226,381.55884899018747
228,1398489212.049,367.69658560100874,354.7304000007472,357.19723937859646,356.710768988995,359.0837484923368
229,1398489213.977,357.9154535107573,378.73040000017966,357.1972393790794,346.3261535544368,360.0423116111133
230,1398489214.977,361.17583087409207,390.7303999989864,354.011398699142,344.5953843155187,362.6282534719348
231,1398489215.977,366.06639691921777,390.73040000080533,360.3830800585339,351.5184612717159,367.1745845625682
232,1398489217.492,380.738095054595,402.7303999996121,366.7547614179259,367.0953844235533,379.32966022392156
233,1398489219.045,413.34186868868426,402.7303999996121,376.3122834572554,382.67230757539056,393.7642149302356
234,1398489220.044,423.12300077893576,414.73040000023786,379.4981241371928,377.47999985811146,398.7078811936195
235,1398489221.044,400.300359235098,402.7303999996121,360.3830800585339,363.63384594545454,381.7619213096747
236,1398489222.043,351.5033780295075,366.7303999995539,350.8255580192045,348.05692279361733,354.2790647104708
237,1398489225.258,359.5456421925482,378.73040000017966,360.3830800585339,342.86461507633817,360.38093433189994
238,1398489226.809,405.19092528022367,426.73039999904466,376.3122834572554,382.67230757539056,397.7264790779786
239,1398489227.809,408.45130264380566,402.7303999996121,379.4981241371928,386.1338460534892,394.20341820852497
240,1398489228.808,405.19092528022367,390.73040000080533,376.3122834577383,379.2107690972919,387.8610944590148
241,1398489229.807,393.7796045084284,390.73040000080533,363.5689207384714,365.3646151843727,378.3608851080195
242,1398489231.525,366.06639691921777,390.7303999989864,350.8255580192045,344.5953843155187,363.0544348132318
243,1398489233.09,346.6128119841346,366.7303999995539,354.011398699142,348.05692279361733,353.85288336911196
244,1398489234.785,387.2588497815117,402.7303999996121,363.5689207384714,360.1723074670937,378.43261949667226
245,1398489235.785,393.7796045084284,402.7303999996121,366.7547614179259,367.0953844235533,382.5900375873799
246,1398489236.785,390.51922714484647,402.7303999996121,366.7547614179259,370.55692290165194,382.6403278660091
247,1398489239.06,383.99847241792975,390.73040000080533,366.75476141840886,363.63384594519226,376.27936994558405
248,1398489240.545,387.2588497815117,402.7303999996121,360.3830800585339,354.9799997500769,376.3380823974336
249,1398489241.544,380.738095054595,390.7303999989864,360.3830800585339,356.710768988995,372.14058602527757
250,1398489242.543,377.4777176912602,390.7303999989864,357.19723937859646,358.4415382281755,370.9617238242546
251,1398489243.542,374.2173403279255,390.7303999989864,360.3830800585339,356.710768988995,370.5103973436102
252,1398489246.399,377.4777176912602,390.73040000080533,366.7547614179259,358.44153822791316,373.3511043344762
253,1398489248.073,380.738095054595,378.73040000017966,369.94060209786335,365.3646151843727,373.6934280842527
254,1398489249.072,385.6286610997208,402.7303999996121,366.75476141840886,363.63384594545454,379.6869171157991
255,1398489250.071,387.2588497815117,390.73040000080533,366.7547614179259,361.9030767062741,376.66177197662927
256,1398489251.075,374.2173403276784,390.7303999989864,360.3830800585339,356.710768988995,370.51039734354845
257,1398489252.48,375.84752900946927,390.73040000080533,360.3830800585339,353.2492305108964,370.05255989492616
258,1398489254.075,395.4097931899722,378.73040000017966,369.94060209786335,367.0953844235533,377.7940449278921
259,1398489255.719,397.0399818717632,402.7303999996121,369.94060209786335,368.82615366247137,384.6342844079275
260,1398489256.719,379.1079063730512,390.7303999989864,363.5689207384714,365.3646151843727,374.6929605737204
261,1398489257.719,357.9154535107573,378.7303999983607,354.011398699142,349.78769203279774,360.11123606026445
262,1398489259.315,377.4777176912602,378.73040000017966,366.75476141840886,354.9799997500769,369.4857197149814
263,1398489261.526,398.6701705533071,390.73040000080533,373.1264427778008,379.2107690972919,385.43444560730126
264,1398489262.525,403.5607365984328,390.73040000080533,373.1264427778008,380.9415383362101,387.0897794283122
265,1398489263.524,398.67017055355416,390.73040000080533,366.75476141840886,367.0953844235533,380.8126790990804
266,1398489264.524,372.5871516461345,390.7303999989864,360.3830800585339,349.78769203279774,368.3720809341131
267,1398489267.589,361.17583087409207,378.73040000017966,357.1972393790794,349.78769203253546,361.72279057147165
268,1398489270.509,398.67017055355416,414.7303999984189,366.7547614179259,370.55692290165194,387.6780637178877
269,1398489271.509,397.0399818717632,390.73040000080533,369.94060209786335,374.0184613800128,382.93236133761116
270,1398489272.508,397.0399818717632,390.73040000080533,369.94060209786335,370.55692290165194,382.06697671802095
271,1398489273.507,390.51922714484647,402.7303999996121,363.5689207384714,358.44153822791316,378.81502152771077
272,1398489274.963,375.84752900946927,414.73040000023786,357.1972393790794,351.5184612717159,374.8234074151256
273,1398489277.791,372.5871516461345,366.7303999995539,360.3830800585339,354.9799997500769,363.6701578635748
274,1398489278.79,387.2588497815117,390.73040000080533,360.3830800585339,358.4415382281755,374.20346701725657
275,1398489279.789,387.2588497815117,402.7303999996121,363.5689207384714,358.44153822791316,377.99992718687713
276,1398489280.789,383.9984724181769,378.73040000017966,369.94060209786335,365.3646151843727,374.50852242514816
277,1398489282.535,379.1079063730512,390.73040000080533,366.75476141840886,361.9030767062741,374.62403612463487
